size,number
390000,19380
320000,26351
450000,14673
650000,8493
870000,4952
950000,4500
1170000,2977
1370000,2343
1480000,1711
1570000,1544
1780000,1408
1890000,1338
2000000,1203
2210000,775
2270000,826
2450000,653
2640000,595
2840000,479
3050000,645
3150000,501
3370000,349
3470000,330
3690000,466
3900000,280
4110000,254
4190000,228
4370000,215
4530000,215
4630000,221
4810000,215
5000000,157
5220000,164
5460000,155
5510000,211
5520000,143
5530000,140
5540000,200
5550000,180
5560000,131
5570000,1767
5580000,181
5590000,174
5600000,152
5610000,204
5620000,142
5630000,148
5640000,143
5650000,130
5670000,148
5680000,157
5690000,138
5700000,160
5710000,204
5720000,158
5730000,126
5740000,203
5750000,137
5760000,139
5770000,116
5780000,146
5790000,170
5800000,126
5810000,267
5820000,181
5830000,261
5840000,166
5850000,150
5860000,121
5870000,195
5880000,113
5890000,169
5900000,137
5910000,139
5920000,131
5930000,142
5950000,110
5960000,144
5970000,179
5980000,142
5990000,134
6000000,161
6010000,155
6020000,166
6030000,132
6040000,232
6050000,123
6060000,161
6070000,132
6080000,178
6090000,139
6100000,179
6110000,148
6120000,163
6130000,154
6140000,125
6150000,130
6160000,131
6180000,142
6190000,148
6200000,101
6210000,149
6220000,165
6230000,134
6240000,135
6250000,157
6260000,136
6270000,126
6290000,105
6300000,120
6310000,111
6320000,115
6330000,132
6340000,132
6350000,140
6360000,141
6370000,133
6380000,125
6390000,122
6400000,111
6410000,99
6420000,131
6430000,126
6440000,103
6450000,115
6460000,102
6470000,127
6480000,117
2500,553802
5000,442209
7500,332706
10000,265804
20000,696502
30000,404202
50000,210890
60000,160792
70000,125320
80000,111226
90000,94350
110000,73508
120000,65789
130000,62335
140000,54887
160000,48901
170000,45320
190000,38902
200000,38450
210000,34818
40000,273592
100000,81989
150000,53965
180000,41625
230000,31735
240000,29536
250000,27306
